Date,Day,Month,Quarter,Year,Open,Close,Volume
1/1/2019,Wednesday,January,Q1,2019,41.85,41.4,105166
1/2/2019,Thursday,January,Q1,2019,41.1,41.15,288827
1/3/2019,Friday,January,Q1,2019,41.5,40.95,211035
1/4/2019,Monday,January,Q1,2019,40.95,40.55,169984
1/7/2019,Tuesday,January,Q1,2019,41,41.1,292864
1/8/2019,Wednesday,January,Q1,2019,41.1,40.75,259216
1/9/2019,Thursday,January,Q1,2019,41.2,40.65,160411
1/10/2019,Friday,January,Q1,2019,40.95,40.65,82567
1/11/2019,Monday,January,Q1,2019,40.65,39.75,346640
1/14/2019,Tuesday,January,Q1,2019,40.5,39.6,269872
1/15/2019,Wednesday,January,Q1,2019,40.1,38.75,228070
1/16/2019,Thursday,January,Q1,2019,39.3,39.15,167243
1/17/2019,Friday,January,Q1,2019,39.75,39.65,221463
1/18/2019,Monday,January,Q1,2019,39.65,38.75,180157
1/21/2019,Tuesday,January,Q1,2019,39,37.95,113138
1/22/2019,Wednesday,January,Q1,2019,38,37.75,243342
1/23/2019,Thursday,January,Q1,2019,37.75,37.95,113541
1/24/2019,Friday,January,Q1,2019,37.7,37.35,119053
1/25/2019,Monday,January,Q1,2019,38.05,35.1,250182
1/28/2019,Tuesday,January,Q1,2019,35.45,32.5,770899
1/29/2019,Wednesday,January,Q1,2019,33,34.9,542956
1/30/2019,Thursday,January,Q1,2019,35.95,37.3,529540
1/31/2019,Friday,February,Q1,2019,38,35.6,733194
2/1/2019,Monday,February,Q1,2019,36.4,35.75,352935
2/4/2019,Tuesday,February,Q1,2019,35.95,33.85,251417
2/5/2019,Wednesday,February,Q1,2019,34.3,32.95,192834
2/6/2019,Thursday,February,Q1,2019,33.4,33.1,345009
2/7/2019,Friday,February,Q1,2019,33.5,34.4,1211335
2/8/2019,Monday,February,Q1,2019,34.75,33.9,190270
2/11/2019,Tuesday,February,Q1,2019,33,32.85,198956
2/12/2019,Thursday,February,Q1,2019,33,32.1,216299
2/14/2019,Friday,February,Q1,2019,32.55,31.95,418342
2/15/2019,Monday,February,Q1,2019,32.05,31,438733
2/18/2019,Tuesday,February,Q1,2019,31.45,30.25,238514
2/19/2019,Wednesday,February,Q1,2019,30.25,30.8,200552
2/20/2019,Thursday,February,Q1,2019,31.15,30.95,220599
2/21/2019,Friday,February,Q1,2019,31,30.85,320492
2/22/2019,Monday,February,Q1,2019,31.1,32.7,788757
2/25/2019,Tuesday,February,Q1,2019,33.4,32.95,493358
2/26/2019,Wednesday,February,Q1,2019,32.75,32.9,602009
2/27/2019,Thursday,February,Q1,2019,33.25,32.9,918227
2/28/2019,Friday,March,Q1,2019,33,33.05,305906
3/1/2019,Tuesday,March,Q1,2019,33.1,34.2,1019350
3/5/2019,Wednesday,March,Q1,2019,34.25,36.25,1423360
3/6/2019,Thursday,March,Q1,2019,36.75,35.4,976586
3/7/2019,Friday,March,Q1,2019,36,35.6,816819
3/8/2019,Monday,March,Q1,2019,35.6,35,552247
3/11/2019,Tuesday,March,Q1,2019,35.4,36.15,515567
3/12/2019,Wednesday,March,Q1,2019,36.5,39.1,3374322
3/13/2019,Thursday,March,Q1,2019,39.3,39.75,2123795
3/14/2019,Friday,March,Q1,2019,40.2,38.55,791109
3/15/2019,Monday,March,Q1,2019,38.9,37.8,886002
3/18/2019,Tuesday,March,Q1,2019,38.25,37.4,591667
3/19/2019,Wednesday,March,Q1,2019,37.4,37.1,514591
3/20/2019,Friday,March,Q1,2019,37,36.45,458645
3/22/2019,Monday,March,Q1,2019,36.6,36,505496
3/25/2019,Tuesday,March,Q1,2019,35.55,35.15,426556
3/26/2019,Wednesday,March,Q1,2019,35.05,35.95,480545
3/27/2019,Thursday,March,Q1,2019,36.1,35.55,366621
3/28/2019,Monday,April,Q2,2019,35.6,35.85,498011
4/1/2019,Tuesday,April,Q2,2019,37.55,38.7,780251
4/2/2019,Wednesday,April,Q2,2019,38.95,37.75,785107
4/3/2019,Thursday,April,Q2,2019,37.75,37.25,368043
4/4/2019,Friday,April,Q2,2019,37.3,36.95,425277
4/5/2019,Monday,April,Q2,2019,37,36.65,258016
4/8/2019,Tuesday,April,Q2,2019,36.95,36.25,680431
4/9/2019,Wednesday,April,Q2,2019,36.5,37,434729
4/10/2019,Thursday,April,Q2,2019,36.9,36.95,446323
4/11/2019,Friday,April,Q2,2019,37,36,592636
4/12/2019,Monday,April,Q2,2019,36.35,37,716786
4/15/2019,Tuesday,April,Q2,2019,37.3,37.45,598604
4/16/2019,Thursday,April,Q2,2019,37.6,44.5,10783405
4/18/2019,Monday,April,Q2,2019,44.9,45,7207777
4/22/2019,Tuesday,April,Q2,2019,44.4,44.75,2596859
4/23/2019,Wednesday,April,Q2,2019,44.6,44.2,1041669
4/24/2019,Thursday,April,Q2,2019,44.4,44.7,867612
4/25/2019,Friday,April,Q2,2019,44.75,43.8,599113
4/26/2019,Tuesday,April,Q2,2019,43.55,43,648948
4/30/2019,Thursday,May,Q2,2019,42.95,40.05,958201
5/2/2019,Friday,May,Q2,2019,40,41.8,1313437
5/3/2019,Monday,May,Q2,2019,41.9,41.9,432762
5/6/2019,Tuesday,May,Q2,2019,41.4,40.2,482271
5/7/2019,Wednesday,May,Q2,2019,40.5,39.45,752888
5/8/2019,Thursday,May,Q2,2019,39.85,38.05,793079
5/9/2019,Friday,May,Q2,2019,38.25,39.15,704888
5/10/2019,Monday,May,Q2,2019,39.7,39.1,389550
5/13/2019,Tuesday,May,Q2,2019,39.35,37.8,388130
5/14/2019,Wednesday,May,Q2,2019,37.6,37.7,551588
5/15/2019,Thursday,May,Q2,2019,38.1,37.5,991433
5/16/2019,Friday,May,Q2,2019,37.5,36.6,750015
5/17/2019,Monday,May,Q2,2019,37,37.4,605735
5/20/2019,Tuesday,May,Q2,2019,41,43.1,2765726
5/21/2019,Wednesday,May,Q2,2019,44.1,43.35,2839782
5/22/2019,Thursday,May,Q2,2019,44.2,43.95,1366431
5/23/2019,Friday,May,Q2,2019,46,43.4,3296384
5/24/2019,Monday,May,Q2,2019,44,42.3,836545
5/27/2019,Tuesday,May,Q2,2019,42.55,43.15,728280
5/28/2019,Wednesday,May,Q2,2019,43.5,45,2795602
5/29/2019,Thursday,May,Q2,2019,45.2,44.7,1087465
5/30/2019,Friday,May,Q2,2019,44.9,44.6,775453
5/31/2019,Monday,June,Q2,2019,44.8,43.3,733078
6/3/2019,Tuesday,June,Q2,2019,43.55,44.1,1032570
6/4/2019,Thursday,June,Q2,2019,43.9,45.2,1564837
6/6/2019,Friday,June,Q2,2019,45.65,44.35,1090829
6/7/2019,Monday,June,Q2,2019,44.45,43.25,958801
6/10/2019,Tuesday,June,Q2,2019,43.95,42.9,572040
6/11/2019,Wednesday,June,Q2,2019,42.9,42.55,373551
6/12/2019,Thursday,June,Q2,2019,42.95,43.15,1005299
6/13/2019,Friday,June,Q2,2019,43.3,43.4,878605
6/14/2019,Monday,June,Q2,2019,43.2,42.6,735206
6/17/2019,Tuesday,June,Q2,2019,42.3,41.65,463842
6/18/2019,Wednesday,June,Q2,2019,41.65,40.8,507146
6/19/2019,Thursday,June,Q2,2019,40.8,39.75,716297
6/20/2019,Friday,June,Q2,2019,40.9,40.95,1318472
6/21/2019,Monday,June,Q2,2019,41.25,41.25,544866
6/24/2019,Tuesday,June,Q2,2019,41.6,41.15,329432
6/25/2019,Wednesday,June,Q2,2019,40.75,41.35,420526
6/26/2019,Thursday,June,Q2,2019,41.5,41.5,337225
6/27/2019,Friday,June,Q2,2019,41.6,42.35,520763
6/28/2019,Monday,July,Q3,2019,42.8,44.4,1669966
7/1/2019,Tuesday,July,Q3,2019,44.95,45.5,1373074
7/2/2019,Wednesday,July,Q3,2019,45.75,50.2,9097156
7/3/2019,Thursday,July,Q3,2019,50.75,52,5384608
7/4/2019,Friday,July,Q3,2019,52.5,51.05,2307705
7/5/2019,Monday,July,Q3,2019,51.45,47.6,1917892
7/8/2019,Tuesday,July,Q3,2019,47,44.85,1441111
7/9/2019,Wednesday,July,Q3,2019,44.7,49.6,5877043
7/10/2019,Thursday,July,Q3,2019,50.2,49.1,3006518
7/11/2019,Friday,July,Q3,2019,49.55,49.45,1433624
7/12/2019,Monday,July,Q3,2019,49.75,49.55,1510070
7/15/2019,Tuesday,July,Q3,2019,49.9,48.5,967174
7/16/2019,Wednesday,July,Q3,2019,48.9,49.2,1212564
7/17/2019,Thursday,July,Q3,2019,49.4,48.45,705789
7/18/2019,Friday,July,Q3,2019,48.3,47.5,938262
7/19/2019,Monday,July,Q3,2019,48,45.8,1180434
7/22/2019,Tuesday,July,Q3,2019,45.5,46.8,1022220
7/23/2019,Wednesday,July,Q3,2019,46.9,48.8,1756709
7/24/2019,Thursday,July,Q3,2019,49.4,48.45,671080
7/25/2019,Friday,July,Q3,2019,48.35,48.8,677095
7/26/2019,Monday,July,Q3,2019,48.8,49.6,777960
7/29/2019,Tuesday,July,Q3,2019,49.05,48.8,328736
7/30/2019,Wednesday,July,Q3,2019,49,46.4,623197
7/31/2019,Thursday,August,Q3,2019,45.6,46.8,473057
8/1/2019,Friday,August,Q3,2019,46,45.6,503495
8/2/2019,Monday,August,Q3,2019,45.4,46.85,932015
8/5/2019,Tuesday,August,Q3,2019,46.1,45.8,767973
8/6/2019,Wednesday,August,Q3,2019,45.95,47.5,584382
8/7/2019,Thursday,August,Q3,2019,47.65,47.8,1046474
8/8/2019,Friday,August,Q3,2019,48.5,47.35,860687
8/9/2019,Tuesday,August,Q3,2019,47.45,46.4,599088
8/13/2019,Wednesday,August,Q3,2019,47,46.5,393919
8/14/2019,Friday,August,Q3,2019,46.5,46.6,219496
8/16/2019,Monday,August,Q3,2019,45.2,46.85,348501
8/19/2019,Tuesday,August,Q3,2019,47.3,46.35,289088
8/20/2019,Wednesday,August,Q3,2019,46.3,45.8,298641
8/21/2019,Thursday,August,Q3,2019,45.9,44.1,310844
8/22/2019,Friday,August,Q3,2019,43.6,43.5,486726
8/23/2019,Monday,August,Q3,2019,43,43.85,394426
8/26/2019,Tuesday,August,Q3,2019,45,43.65,445215
8/27/2019,Wednesday,August,Q3,2019,43.55,44.95,469164
8/28/2019,Thursday,August,Q3,2019,45,44.05,292461
8/29/2019,Friday,August,Q3,2019,44.15,43.4,175387
8/30/2019,Tuesday,September,Q3,2019,46,46.4,1922577
9/3/2019,Wednesday,September,Q3,2019,46,44.45,337233
9/4/2019,Thursday,September,Q3,2019,44.8,43.85,266067
9/5/2019,Friday,September,Q3,2019,44.15,45.05,299542
9/6/2019,Monday,September,Q3,2019,45.25,45.1,278208
9/9/2019,Wednesday,September,Q3,2019,45.45,45.5,337267
9/11/2019,Thursday,September,Q3,2019,45.55,48.3,1040310
9/12/2019,Friday,September,Q3,2019,49.05,48.9,922820
9/13/2019,Monday,September,Q3,2019,49.25,50.25,706131
9/16/2019,Tuesday,September,Q3,2019,49.95,55.55,5344257
9/17/2019,Wednesday,September,Q3,2019,55.9,54.85,1969318
9/18/2019,Thursday,September,Q3,2019,55.6,53.05,1049757
9/19/2019,Friday,September,Q3,2019,53.1,50.15,1387090
9/20/2019,Monday,September,Q3,2019,50.5,51.6,1461426
9/23/2019,Tuesday,September,Q3,2019,52.5,52.2,1072941
9/24/2019,Wednesday,September,Q3,2019,52,52.7,763788
9/25/2019,Thursday,September,Q3,2019,52.6,52.55,910875
9/26/2019,Friday,September,Q3,2019,52.6,59.15,6024700
9/27/2019,Monday,September,Q3,2019,59.15,57.35,2026755
9/30/2019,Tuesday,October,Q4,2019,57.55,58.25,4085782
10/1/2019,Thursday,October,Q4,2019,58.75,56.5,1433723
10/3/2019,Friday,October,Q4,2019,56.7,61.2,3183487
10/4/2019,Monday,October,Q4,2019,61.85,65.15,6352717
10/7/2019,Wednesday,October,Q4,2019,65.45,68.05,4496152
10/9/2019,Thursday,October,Q4,2019,68.3,71.45,6942443
10/10/2019,Friday,October,Q4,2019,71.4,73.8,3267575
10/11/2019,Monday,October,Q4,2019,74.6,78.75,6379751
10/14/2019,Tuesday,October,Q4,2019,79.45,79.15,5291524
10/15/2019,Wednesday,October,Q4,2019,79.8,79.95,2719906
10/16/2019,Thursday,October,Q4,2019,80.6,80.25,1511651
10/17/2019,Friday,October,Q4,2019,80.45,88.85,8398359
10/18/2019,Tuesday,October,Q4,2019,89,89.6,3174728
10/22/2019,Wednesday,October,Q4,2019,90,86.6,2692862
10/23/2019,Thursday,October,Q4,2019,86.55,86.65,1917829
10/24/2019,Friday,October,Q4,2019,87.35,86.15,1196231
10/25/2019,Sunday,October,Q4,2019,85.9,88.95,3192580
10/27/2019,Tuesday,October,Q4,2019,90,90.2,678001
10/29/2019,Wednesday,October,Q4,2019,90.35,89.5,1977567
10/30/2019,Thursday,October,Q4,2019,89.6,89.9,1188364
10/31/2019,Friday,November,Q4,2019,90.55,89.7,1051707
11/1/2019,Monday,November,Q4,2019,90.25,89.95,937093
11/4/2019,Tuesday,November,Q4,2019,89.7,92.65,3284998
11/5/2019,Wednesday,November,Q4,2019,93.2,90.7,963016
11/6/2019,Thursday,November,Q4,2019,90,90.3,1188174
11/7/2019,Friday,November,Q4,2019,90.4,88.7,911495
11/8/2019,Monday,November,Q4,2019,88.8,86.7,1403419
11/11/2019,Wednesday,November,Q4,2019,86.8,93.85,4135563
11/13/2019,Thursday,November,Q4,2019,95,96,6684791
11/14/2019,Friday,November,Q4,2019,96.7,95.05,1611104
11/15/2019,Monday,November,Q4,2019,95.4,95.5,1053101
11/18/2019,Tuesday,November,Q4,2019,95.95,94.05,643258
11/19/2019,Wednesday,November,Q4,2019,94.05,96.2,1471915
11/20/2019,Thursday,November,Q4,2019,96.8,98.75,2279188
11/21/2019,Friday,November,Q4,2019,98.65,97,855172
11/22/2019,Monday,November,Q4,2019,97.45,106.7,4228833
11/25/2019,Tuesday,November,Q4,2019,107.7,114.3,6899872
11/26/2019,Wednesday,November,Q4,2019,114.5,115.15,3410913
11/27/2019,Thursday,November,Q4,2019,115.8,125.9,5101074
11/28/2019,Friday,November,Q4,2019,127.25,132.15,3053265
11/29/2019,Monday,December,Q4,2019,136,137.1,5716364
12/2/2019,Tuesday,December,Q4,2019,138,131.3,3121254
12/3/2019,Wednesday,December,Q4,2019,132,124.75,1057611
12/4/2019,Thursday,December,Q4,2019,119.55,128.55,6954803
12/5/2019,Friday,December,Q4,2019,129,129.95,1769948
12/6/2019,Monday,December,Q4,2019,129.6,126.4,1133254
12/9/2019,Tuesday,December,Q4,2019,125.3,124.65,981394
12/10/2019,Wednesday,December,Q4,2019,124.35,126.9,1078100
12/11/2019,Thursday,December,Q4,2019,128,132.55,2319859
12/12/2019,Friday,December,Q4,2019,134.2,131.9,1195491
12/13/2019,Monday,December,Q4,2019,131.9,132.65,764794
12/16/2019,Tuesday,December,Q4,2019,133.3,134.4,2156419
12/17/2019,Wednesday,December,Q4,2019,135,135.55,957067
12/18/2019,Thursday,December,Q4,2019,136.3,135.1,690735
12/19/2019,Friday,December,Q4,2019,134.95,134.25,483204
12/20/2019,Monday,December,Q4,2019,134.75,135.1,617642
12/23/2019,Tuesday,December,Q4,2019,135.1,141.85,2374429
12/24/2019,Thursday,December,Q4,2019,146.45,148.9,1169913
12/26/2019,Friday,December,Q4,2019,156.3,156.3,347718
12/27/2019,Monday,December,Q4,2019,159.4,151,5370150
12/30/2019,Tuesday,December,Q4,2019,153.7,158.55,1567589
12/31/2019,Wednesday,January,Q1,2020,166.45,166.45,2050662
1/1/2020,Thursday,January,Q1,2020,169.35,174.75,5417952
1/2/2020,Friday,January,Q1,2020,179.15,183.45,3087009
1/3/2020,Monday,January,Q1,2020,187.8,192.6,3670040
1/6/2020,Tuesday,January,Q1,2020,200,200.6,9497209
1/7/2020,Wednesday,January,Q1,2020,208,210.6,2126797
1/8/2020,Thursday,January,Q1,2020,215.8,221.1,1181338
1/9/2020,Friday,January,Q1,2020,232.15,232.15,273048
1/10/2020,Monday,January,Q1,2020,243.75,220.55,3337546
1/13/2020,Tuesday,January,Q1,2020,209.55,209.55,118786
1/14/2020,Wednesday,January,Q1,2020,199.1,199.1,80682
1/15/2020,Thursday,January,Q1,2020,189.15,189.15,52323
1/16/2020,Friday,January,Q1,2020,179.7,179.7,60474
1/17/2020,Monday,January,Q1,2020,175.1,188.65,6703516
1/20/2020,Tuesday,January,Q1,2020,198.05,198.05,2840614
1/21/2020,Wednesday,January,Q1,2020,199,202.25,3506909
1/22/2020,Thursday,January,Q1,2020,204,197.65,1754417
1/23/2020,Friday,January,Q1,2020,199.2,192.2,1336193
1/24/2020,Monday,January,Q1,2020,187.5,190.25,2518115
1/27/2020,Tuesday,January,Q1,2020,189,190.75,881601
1/28/2020,Wednesday,January,Q1,2020,191.5,187.65,957274
1/29/2020,Thursday,January,Q1,2020,188,186.3,631830
1/30/2020,Friday,January,Q1,2020,186.9,180.45,1024133
1/31/2020,Monday,February,Q1,2020,182.5,189.45,862006
2/3/2020,Tuesday,February,Q1,2020,186.85,196.15,1171000
2/4/2020,Wednesday,February,Q1,2020,201.9,198,3984199
2/5/2020,Thursday,February,Q1,2020,196,193.25,1320812
2/6/2020,Friday,February,Q1,2020,193,202.9,2711020
2/7/2020,Monday,February,Q1,2020,208.95,213,2674856
2/10/2020,Tuesday,February,Q1,2020,219.9,213.35,2063806
2/11/2020,Wednesday,February,Q1,2020,215.9,211.25,1102243
2/12/2020,Thursday,February,Q1,2020,212.1,207.65,879583
2/13/2020,Friday,February,Q1,2020,208,199.95,929657
2/14/2020,Monday,February,Q1,2020,201,206.8,1474525
2/17/2020,Tuesday,February,Q1,2020,208.4,198.35,773097
2/18/2020,Wednesday,February,Q1,2020,200.8,189.25,839722
2/19/2020,Thursday,February,Q1,2020,191.9,197.85,2501070
2/20/2020,Monday,February,Q1,2020,197.85,194.85,911195
2/24/2020,Tuesday,February,Q1,2020,191.45,185.9,959369
2/25/2020,Wednesday,February,Q1,2020,184.75,180.55,861686
2/26/2020,Thursday,February,Q1,2020,175.55,171.55,996786
2/27/2020,Friday,February,Q1,2020,165.3,163,727993
2/28/2020,Monday,March,Q1,2020,154.85,154.95,1655841
3/2/2020,Tuesday,March,Q1,2020,156.6,156.05,1127956
3/3/2020,Wednesday,March,Q1,2020,162.9,159.5,534459
3/4/2020,Thursday,March,Q1,2020,159.25,152,480121
3/5/2020,Friday,March,Q1,2020,151.55,152.5,1252377
3/6/2020,Monday,March,Q1,2020,144.9,144.9,425088
3/9/2020,Wednesday,March,Q1,2020,137.7,137.7,112895
3/11/2020,Thursday,March,Q1,2020,131.1,130.85,1132428
3/12/2020,Friday,March,Q1,2020,124.35,124.35,26796
3/13/2020,Monday,March,Q1,2020,118.15,123.4,2367027
3/16/2020,Tuesday,March,Q1,2020,120,117.7,1305459
3/17/2020,Wednesday,March,Q1,2020,115,123.4,1650012
3/18/2020,Thursday,March,Q1,2020,125.1,129.4,1137426
3/19/2020,Friday,March,Q1,2020,125,135.65,920137
3/20/2020,Monday,March,Q1,2020,142.4,142.35,417369
3/23/2020,Tuesday,March,Q1,2020,135.25,135.25,255497
3/24/2020,Wednesday,March,Q1,2020,128.5,141.3,981069
3/25/2020,Thursday,March,Q1,2020,140,148.1,436890
3/26/2020,Friday,March,Q1,2020,154,152.1,637211
3/27/2020,Monday,March,Q1,2020,154.5,148.75,567761
3/30/2020,Tuesday,March,Q1,2020,142.1,146.95,490699
3/31/2020,Wednesday,April,Q2,2020,147.3,153.25,452205
4/1/2020,Friday,April,Q2,2020,155.5,152.9,226223
4/3/2020,Tuesday,April,Q2,2020,152.9,151.9,259616
4/7/2020,Wednesday,April,Q2,2020,153.5,158.95,425190
4/8/2020,Thursday,April,Q2,2020,166.85,166.45,702014
4/9/2020,Monday,April,Q2,2020,172.4,174.75,542554
