Year,Quarter,Month,Day,Sum of Close
2019,Qtr 1,January,1,41.4
2019,Qtr 1,January,2,41.15
2019,Qtr 1,January,3,40.95
2019,Qtr 1,January,4,40.55
2019,Qtr 1,January,7,41.1
2019,Qtr 1,January,8,40.75
2019,Qtr 1,January,9,40.65
2019,Qtr 1,January,10,40.65
2019,Qtr 1,January,11,39.75
2019,Qtr 1,January,14,39.6
2019,Qtr 1,January,15,38.75
2019,Qtr 1,January,16,39.15
2019,Qtr 1,January,17,39.65
2019,Qtr 1,January,18,38.75
2019,Qtr 1,January,21,37.95
2019,Qtr 1,January,22,37.75
2019,Qtr 1,January,23,37.95
2019,Qtr 1,January,24,37.35
2019,Qtr 1,January,25,35.1
2019,Qtr 1,January,28,32.5
2019,Qtr 1,January,29,34.9
2019,Qtr 1,January,30,37.3
2019,Qtr 1,January,31,35.6
2019,Qtr 1,February,1,35.75
2019,Qtr 1,February,4,33.85
2019,Qtr 1,February,5,32.95
2019,Qtr 1,February,6,33.1
2019,Qtr 1,February,7,34.4
2019,Qtr 1,February,8,33.9
2019,Qtr 1,February,11,32.85
2019,Qtr 1,February,12,32.1
2019,Qtr 1,February,14,31.95
2019,Qtr 1,February,15,31
2019,Qtr 1,February,18,30.25
2019,Qtr 1,February,19,30.8
2019,Qtr 1,February,20,30.95
2019,Qtr 1,February,21,30.85
2019,Qtr 1,February,22,32.7
2019,Qtr 1,February,25,32.95
2019,Qtr 1,February,26,32.9
2019,Qtr 1,February,27,32.9
2019,Qtr 1,February,28,33.05
2019,Qtr 1,March,1,34.2
2019,Qtr 1,March,5,36.25
2019,Qtr 1,March,6,35.4
2019,Qtr 1,March,7,35.6
2019,Qtr 1,March,8,35
2019,Qtr 1,March,11,36.15
2019,Qtr 1,March,12,39.1
2019,Qtr 1,March,13,39.75
2019,Qtr 1,March,14,38.55
2019,Qtr 1,March,15,37.8
2019,Qtr 1,March,18,37.4
2019,Qtr 1,March,19,37.1
2019,Qtr 1,March,20,36.45
2019,Qtr 1,March,22,36
2019,Qtr 1,March,25,35.15
2019,Qtr 1,March,26,35.95
2019,Qtr 1,March,27,35.55
2019,Qtr 1,March,28,35.85
2019,Qtr 2,April,1,38.7
2019,Qtr 2,April,2,37.75
2019,Qtr 2,April,3,37.25
2019,Qtr 2,April,4,36.95
2019,Qtr 2,April,5,36.65
2019,Qtr 2,April,8,36.25
2019,Qtr 2,April,9,37
2019,Qtr 2,April,10,36.95
2019,Qtr 2,April,11,36
2019,Qtr 2,April,12,37
2019,Qtr 2,April,15,37.45
2019,Qtr 2,April,16,44.5
2019,Qtr 2,April,18,45
2019,Qtr 2,April,22,44.75
2019,Qtr 2,April,23,44.2
2019,Qtr 2,April,24,44.7
2019,Qtr 2,April,25,43.8
2019,Qtr 2,April,26,43
2019,Qtr 2,April,30,40.05
2019,Qtr 2,May,2,41.8
2019,Qtr 2,May,3,41.9
2019,Qtr 2,May,6,40.2
2019,Qtr 2,May,7,39.45
2019,Qtr 2,May,8,38.05
2019,Qtr 2,May,9,39.15
2019,Qtr 2,May,10,39.1
2019,Qtr 2,May,13,37.8
2019,Qtr 2,May,14,37.7
2019,Qtr 2,May,15,37.5
2019,Qtr 2,May,16,36.6
2019,Qtr 2,May,17,37.4
2019,Qtr 2,May,20,43.1
2019,Qtr 2,May,21,43.35
2019,Qtr 2,May,22,43.95
2019,Qtr 2,May,23,43.4
2019,Qtr 2,May,24,42.3
2019,Qtr 2,May,27,43.15
2019,Qtr 2,May,28,45
2019,Qtr 2,May,29,44.7
2019,Qtr 2,May,30,44.6
2019,Qtr 2,May,31,43.3
2019,Qtr 2,June,3,44.1
2019,Qtr 2,June,4,45.2
2019,Qtr 2,June,6,44.35
2019,Qtr 2,June,7,43.25
2019,Qtr 2,June,10,42.9
2019,Qtr 2,June,11,42.55
2019,Qtr 2,June,12,43.15
2019,Qtr 2,June,13,43.4
2019,Qtr 2,June,14,42.6
2019,Qtr 2,June,17,41.65
2019,Qtr 2,June,18,40.8
2019,Qtr 2,June,19,39.75
2019,Qtr 2,June,20,40.95
2019,Qtr 2,June,21,41.25
2019,Qtr 2,June,24,41.15
2019,Qtr 2,June,25,41.35
2019,Qtr 2,June,26,41.5
2019,Qtr 2,June,27,42.35
2019,Qtr 2,June,28,44.4
2019,Qtr 3,July,1,45.5
2019,Qtr 3,July,2,50.2
2019,Qtr 3,July,3,52
2019,Qtr 3,July,4,51.05
2019,Qtr 3,July,5,47.6
2019,Qtr 3,July,8,44.85
2019,Qtr 3,July,9,49.6
2019,Qtr 3,July,10,49.1
2019,Qtr 3,July,11,49.45
2019,Qtr 3,July,12,49.55
2019,Qtr 3,July,15,48.5
2019,Qtr 3,July,16,49.2
2019,Qtr 3,July,17,48.45
2019,Qtr 3,July,18,47.5
2019,Qtr 3,July,19,45.8
2019,Qtr 3,July,22,46.8
2019,Qtr 3,July,23,48.8
2019,Qtr 3,July,24,48.45
2019,Qtr 3,July,25,48.8
2019,Qtr 3,July,26,49.6
2019,Qtr 3,July,29,48.8
2019,Qtr 3,July,30,46.4
2019,Qtr 3,July,31,46.8
2019,Qtr 3,August,1,45.6
2019,Qtr 3,August,2,46.85
2019,Qtr 3,August,5,45.8
2019,Qtr 3,August,6,47.5
2019,Qtr 3,August,7,47.8
2019,Qtr 3,August,8,47.35
2019,Qtr 3,August,9,46.4
2019,Qtr 3,August,13,46.5
2019,Qtr 3,August,14,46.6
2019,Qtr 3,August,16,46.85
2019,Qtr 3,August,19,46.35
2019,Qtr 3,August,20,45.8
2019,Qtr 3,August,21,44.1
2019,Qtr 3,August,22,43.5
2019,Qtr 3,August,23,43.85
2019,Qtr 3,August,26,43.65
2019,Qtr 3,August,27,44.95
2019,Qtr 3,August,28,44.05
2019,Qtr 3,August,29,43.4
2019,Qtr 3,August,30,46.4
2019,Qtr 3,September,3,44.45
2019,Qtr 3,September,4,43.85
2019,Qtr 3,September,5,45.05
2019,Qtr 3,September,6,45.1
2019,Qtr 3,September,9,45.5
2019,Qtr 3,September,11,48.3
2019,Qtr 3,September,12,48.9
2019,Qtr 3,September,13,50.25
2019,Qtr 3,September,16,55.55
2019,Qtr 3,September,17,54.85
2019,Qtr 3,September,18,53.05
2019,Qtr 3,September,19,50.15
2019,Qtr 3,September,20,51.6
2019,Qtr 3,September,23,52.2
2019,Qtr 3,September,24,52.7
2019,Qtr 3,September,25,52.55
2019,Qtr 3,September,26,59.15
2019,Qtr 3,September,27,57.35
2019,Qtr 3,September,30,58.25
2019,Qtr 4,October,1,56.5
2019,Qtr 4,October,3,61.2
2019,Qtr 4,October,4,65.15
2019,Qtr 4,October,7,68.05
2019,Qtr 4,October,9,71.45
2019,Qtr 4,October,10,73.8
2019,Qtr 4,October,11,78.75
2019,Qtr 4,October,14,79.15
2019,Qtr 4,October,15,79.95
2019,Qtr 4,October,16,80.25
2019,Qtr 4,October,17,88.85
2019,Qtr 4,October,18,89.6
2019,Qtr 4,October,22,86.6
2019,Qtr 4,October,23,86.65
2019,Qtr 4,October,24,86.15
2019,Qtr 4,October,25,88.95
2019,Qtr 4,October,27,90.2
2019,Qtr 4,October,29,89.5
2019,Qtr 4,October,30,89.9
2019,Qtr 4,October,31,89.7
2019,Qtr 4,November,1,89.95
2019,Qtr 4,November,4,92.65
2019,Qtr 4,November,5,90.7
2019,Qtr 4,November,6,90.3
2019,Qtr 4,November,7,88.7
2019,Qtr 4,November,8,86.7
2019,Qtr 4,November,11,93.85
2019,Qtr 4,November,13,96
2019,Qtr 4,November,14,95.05
2019,Qtr 4,November,15,95.5
2019,Qtr 4,November,18,94.05
2019,Qtr 4,November,19,96.2
2019,Qtr 4,November,20,98.75
2019,Qtr 4,November,21,97
2019,Qtr 4,November,22,106.7
2019,Qtr 4,November,25,114.3
2019,Qtr 4,November,26,115.15
2019,Qtr 4,November,27,125.9
2019,Qtr 4,November,28,132.15
2019,Qtr 4,November,29,137.1
2019,Qtr 4,December,2,131.3
2019,Qtr 4,December,3,124.75
2019,Qtr 4,December,4,128.55
2019,Qtr 4,December,5,129.95
2019,Qtr 4,December,6,126.4
2019,Qtr 4,December,9,124.65
2019,Qtr 4,December,10,126.9
2019,Qtr 4,December,11,132.55
2019,Qtr 4,December,12,131.9
2019,Qtr 4,December,13,132.65
2019,Qtr 4,December,16,134.4
2019,Qtr 4,December,17,135.55
2019,Qtr 4,December,18,135.1
2019,Qtr 4,December,19,134.25
2019,Qtr 4,December,20,135.1
2019,Qtr 4,December,23,141.85
2019,Qtr 4,December,24,148.9
2019,Qtr 4,December,26,156.3
